month,brand,review_count,avg_rating,xhs_post_count,avg_xhs_sentiment
2024-10,Bausch & Lomb,25,4.8,3,0.0
2024-11,Bausch & Lomb,27,4.07,2,0.5
2024-12,Bausch & Lomb,30,4.13,1,1.0
2025-01,Bausch & Lomb,29,4.41,1,1.0
2025-02,Bausch & Lomb,24,4.79,2,0.5
2025-03,Bausch & Lomb,23,4.04,1,1.0
2025-04,Bausch & Lomb,21,4.24,3,0.0
2025-05,Bausch & Lomb,28,4.11,5,0.0
2025-06,Bausch & Lomb,31,4.45,6,0.667
2025-07,Bausch & Lomb,40,3.82,5,0.2
2025-08,Bausch & Lomb,35,3.91,2,0.5
2025-09,Bausch & Lomb,28,4.04,7,0.714
2025-10,Bausch & Lomb,32,4.5,4,0.5
2025-11,Bausch & Lomb,39,4.59,12,0.417
2025-12,Bausch & Lomb,23,4.48,4,0.0
2026-01,Bausch & Lomb,23,4.61,5,0.2
2026-02,Bausch & Lomb,22,4.0,2,0.0
2026-03,Bausch & Lomb,27,4.22,4,0.25
2026-04,Bausch & Lomb,24,3.79,2,0.5
2026-05,Bausch & Lomb,33,3.73,6,-0.167
2026-06,Bausch & Lomb,28,3.5,26,0.423
2026-07,Bausch & Lomb,1,5.0,1,1.0
2014-08,CooperVision,0,,0,
2014-09,CooperVision,0,,0,
2014-10,CooperVision,0,,0,
2014-11,CooperVision,0,,0,
2014-12,CooperVision,0,,0,
2015-01,CooperVision,0,,0,
2015-02,CooperVision,0,,0,
2015-03,CooperVision,0,,0,
2015-04,CooperVision,0,,0,
2015-05,CooperVision,0,,0,
2015-06,CooperVision,0,,0,
2015-07,CooperVision,0,,0,
2015-08,CooperVision,0,,0,
2015-09,CooperVision,0,,0,
2015-10,CooperVision,0,,0,
2015-11,CooperVision,0,,0,
2015-12,CooperVision,0,,0,
2016-01,CooperVision,0,,0,
2016-02,CooperVision,0,,0,
2016-03,CooperVision,0,,0,
2016-04,CooperVision,0,,0,
2016-05,CooperVision,0,,0,
2016-06,CooperVision,0,,0,
2016-07,CooperVision,0,,0,
2016-08,CooperVision,0,,0,
2016-09,CooperVision,0,,0,
2016-10,CooperVision,0,,0,
2016-11,CooperVision,0,,0,
2016-12,CooperVision,0,,0,
2017-01,CooperVision,0,,0,
2017-02,CooperVision,0,,0,
2017-03,CooperVision,0,,0,
2017-04,CooperVision,0,,0,
2017-05,CooperVision,0,,0,
2017-06,CooperVision,0,,0,
2017-07,CooperVision,0,,0,
2017-08,CooperVision,0,,0,
2017-09,CooperVision,0,,0,
2017-10,CooperVision,0,,1,0.0
2017-11,CooperVision,0,,0,
2017-12,CooperVision,0,,0,
2018-01,CooperVision,0,,0,
2018-02,CooperVision,0,,0,
2018-03,CooperVision,0,,0,
2018-04,CooperVision,0,,0,
2018-05,CooperVision,0,,0,
2018-06,CooperVision,0,,0,
2018-07,CooperVision,0,,0,
2018-08,CooperVision,0,,0,
2018-09,CooperVision,0,,0,
2018-10,CooperVision,0,,0,
2018-11,CooperVision,0,,0,
2018-12,CooperVision,0,,0,
2019-01,CooperVision,0,,0,
2019-02,CooperVision,0,,0,
2019-03,CooperVision,0,,0,
2019-04,CooperVision,0,,0,
2019-05,CooperVision,0,,0,
2019-06,CooperVision,0,,0,
2019-07,CooperVision,0,,0,
2019-08,CooperVision,0,,0,
2019-09,CooperVision,0,,0,
2019-10,CooperVision,0,,0,
2019-11,CooperVision,0,,0,
2019-12,CooperVision,0,,0,
2020-01,CooperVision,0,,0,
2020-02,CooperVision,0,,0,
2020-03,CooperVision,0,,0,
2020-04,CooperVision,0,,0,
2020-05,CooperVision,0,,0,
2020-06,CooperVision,0,,0,
2020-07,CooperVision,0,,0,
2020-08,CooperVision,0,,0,
2020-09,CooperVision,0,,0,
2020-10,CooperVision,0,,0,
2020-11,CooperVision,0,,0,
2020-12,CooperVision,0,,0,
2021-01,CooperVision,0,,0,
2021-02,CooperVision,0,,0,
2021-03,CooperVision,0,,0,
2021-04,CooperVision,0,,0,
2021-05,CooperVision,0,,0,
2021-06,CooperVision,0,,0,
2021-07,CooperVision,0,,0,
2021-08,CooperVision,14,4.43,0,
2021-09,CooperVision,5,4.8,0,
2021-10,CooperVision,4,4.25,0,
2021-11,CooperVision,8,4.75,1,1.0
2021-12,CooperVision,5,3.4,0,
2022-01,CooperVision,6,4.67,0,
2022-02,CooperVision,11,5.0,1,1.0
2022-03,CooperVision,11,4.73,0,
2022-04,CooperVision,10,4.5,0,
2022-05,CooperVision,7,4.86,0,
2022-06,CooperVision,10,4.0,0,
2022-07,CooperVision,9,4.11,2,1.0
2022-08,CooperVision,16,4.75,2,0.5
2022-09,CooperVision,18,4.78,0,
2022-10,CooperVision,8,4.12,0,
2022-11,CooperVision,16,4.94,0,
2022-12,CooperVision,18,4.61,0,
2023-01,CooperVision,5,5.0,0,
2023-02,CooperVision,6,5.0,0,
2023-03,CooperVision,10,4.5,0,
2023-04,CooperVision,9,4.33,1,-1.0
2023-05,CooperVision,9,4.78,1,0.0
2023-06,CooperVision,10,5.0,1,1.0
2023-07,CooperVision,14,3.43,0,
2023-08,CooperVision,16,4.12,1,1.0
2023-09,CooperVision,17,4.53,1,1.0
2023-10,CooperVision,5,5.0,0,
2023-11,CooperVision,20,4.5,0,
2023-12,CooperVision,4,5.0,0,
2024-01,CooperVision,13,4.69,0,
2024-02,CooperVision,18,4.56,3,0.0
2024-03,CooperVision,14,4.64,2,0.5
2024-04,CooperVision,5,4.6,1,1.0
2024-05,CooperVision,14,4.79,4,1.0
2024-06,CooperVision,7,4.0,2,0.0
2024-07,CooperVision,8,4.25,2,0.5
2024-08,CooperVision,7,4.71,1,1.0
2024-09,CooperVision,7,4.57,3,1.0
2024-10,CooperVision,9,4.11,1,1.0
2024-11,CooperVision,10,4.5,4,0.0
2024-12,CooperVision,5,3.6,4,0.25
2025-01,CooperVision,4,4.0,0,
2025-02,CooperVision,6,4.83,3,0.333
2025-03,CooperVision,5,5.0,6,0.0
2025-04,CooperVision,4,3.0,1,-1.0
2025-05,CooperVision,6,4.17,3,0.667
2025-06,CooperVision,5,4.6,4,-0.5
2025-07,CooperVision,2,4.5,8,0.25
2025-08,CooperVision,1,4.0,4,0.0
2025-09,CooperVision,3,3.67,7,0.571
2025-10,CooperVision,4,4.0,10,0.1
2025-11,CooperVision,4,4.75,8,0.5
2025-12,CooperVision,8,3.88,10,0.2
2026-01,CooperVision,3,4.0,3,1.0
2026-02,CooperVision,3,2.67,3,0.333
2026-03,CooperVision,3,4.67,9,0.111
2026-04,CooperVision,1,1.0,9,0.222
2026-05,CooperVision,5,4.8,14,0.071
2026-06,CooperVision,3,4.0,31,0.194
2026-07,CooperVision,0,,0,
2014-08,Olens,0,,0,
2014-09,Olens,0,,0,
2014-10,Olens,0,,0,
2014-11,Olens,0,,0,
2014-12,Olens,0,,0,
2015-01,Olens,0,,0,
2015-02,Olens,0,,0,
2015-03,Olens,0,,0,
2015-04,Olens,0,,0,
2015-05,Olens,0,,0,
2015-06,Olens,0,,0,
2015-07,Olens,0,,0,
2015-08,Olens,0,,0,
2015-09,Olens,0,,0,
2015-10,Olens,0,,0,
2015-11,Olens,0,,0,
